     tablename     | table_size 
-------------------+------------
 ADD_IN_PROGRAMS   | 8192 bytes
 DOC_FLOW          | 0 bytes
 INVS_REF          | 0 bytes
 INV_RTN           | 0 bytes
 INV_RTN_C         | 0 bytes
 PRCV_CON          | 0 bytes
 PRE_MS_IVO        | 0 bytes
 RTN_ACTION        | 0 bytes
 RTN_REASON        | 0 bytes
 SM_PO_E           | 0 bytes
 accr_disp         | 0 bytes
 add_in_programs   | 8192 bytes
 adj_reason        | 0 bytes
 aic               | 0 bytes
 aic_name          | 0 bytes
 area              | 0 bytes
 bdg_amt           | 0 bytes
 bdg_type          | 0 bytes
 bill_status       | 0 bytes
 buy_re_m          | 0 bytes
 buy_re_y          | 0 bytes
 buycommon         | 0 bytes
 buymethod         | 0 bytes
 buyplan           | 0 bytes
 buyplan_c         | 0 bytes
 buyplan_log       | 0 bytes
 card              | 0 bytes
 card_backup       | 0 bytes
 card_copy         | 0 bytes
 cnt               | 8192 bytes
 cnt_c             | 8192 bytes
 company           | 8192 bytes
 concept           | 8192 bytes
 dept_id           | 8192 bytes
 dept_map          | 0 bytes
 df_con            | 0 bytes
 dispensed         | 0 bytes
 dist_type         | 0 bytes
 doc_flow          | 0 bytes
 doc_flow_c        | 0 bytes
 doc_type          | 0 bytes
 dosage_form       | 0 bytes
 drug_compos       | 0 bytes
 drug_gn           | 8192 bytes
 drug_gn_20231101  | 8192 bytes
 drug_gn_copy      | 8192 bytes
 drug_gn_new       | 8192 bytes
 drug_gn_old       | 8192 bytes
 drug_spec         | 8192 bytes
 drug_vn           | 8192 bytes
 drug_vn_backup    | 8192 bytes
 drug_vn_new       | 8192 bytes
 drug_vnx          | 8192 bytes
 e_po              | 8192 bytes
 ed_group          | 0 bytes
 edi_drug_vn       | 0 bytes
 focus_list        | 0 bytes
 focus_list_c      | 0 bytes
 form              | 8192 bytes
 gf                | 0 bytes
 gp                | 8192 bytes
 gpu               | 8192 bytes
 holiday           | 0 bytes
 hosp              | 0 bytes
 hosp_inv          | 8192 bytes
 hosp_list         | 0 bytes
 icode_tpu_hosxp   | 8192 bytes
 id_con            | 0 bytes
 inst_name         | 0 bytes
 inv_has_his       | 0 bytes
 inv_md            | 0 bytes
 inv_md_backup     | 0 bytes
 inv_md_c          | 0 bytes
 inv_md_c_20230716 | 0 bytes
 inv_md_c_backup   | 0 bytes
 inv_md_c_copy     | 0 bytes
 inv_md_copy       | 0 bytes
 inv_rtn           | 0 bytes
 inv_rtn_c         | 0 bytes
 inv_site          | 0 bytes
 invs_ref          | 0 bytes
 item_type         | 0 bytes
 lamed             | 0 bytes
 lamed_c           | 0 bytes
 location          | 0 bytes
 marital           | 0 bytes
 mbs_re_m          | 0 bytes
 mbs_re_y          | 0 bytes
 med_intx          | 8192 bytes
 med_inv           | 8192 bytes
 med_kw            | 0 bytes
 medallergy        | 8192 bytes
 medallergytype    | 0 bytes
 medcausality      | 0 bytes
 menucon           | 0 bytes
 module_system     | 0 bytes
 ms_ivo            | 0 bytes
 ms_ivo_c          | 0 bytes
 ms_po             | 8192 bytes
 ms_po_c           | 0 bytes
 nation            | 0 bytes
 new_item          | 8192 bytes
 occup             | 0 bytes
 opd_h             | 8192 bytes
 pack_ratio        | 0 bytes
 patient           | 0 bytes
 patmed            | 0 bytes
 po_con            | 0 bytes
 po_reason         | 0 bytes
 position_list     | 0 bytes
 prcv_con          | 0 bytes
 pre_ms_ivo        | 0 bytes
 profile           | 0 bytes
 ptitle            | 0 bytes
 quali_goal        | 0 bytes
 quali_item        | 0 bytes
 quali_rcv         | 0 bytes
 r_s_status        | 0 bytes
 region            | 0 bytes
 relationship      | 0 bytes
 religion          | 0 bytes
 reports           | 8192 bytes
 req_con           | 0 bytes
 rs_con            | 0 bytes
 rtn_action        | 0 bytes
 rtn_reason        | 0 bytes
 sale_unit         | 0 bytes
 scan              | 8192 bytes
 serial            | 0 bytes
 sm_po             | 0 bytes
 sm_po_c           | 0 bytes
 sm_po_c_copy      | 0 bytes
 sm_po_e           | 0 bytes
 special           | 0 bytes
 special_bk1       | 0 bytes
 sub_com           | 0 bytes
 tmt               | 8192 bytes
 tp                | 8192 bytes
 tpu               | 8192 bytes
 uom               | 0 bytes
 usercon           | 0 bytes
 userimport        | 0 bytes
 vtm               | 8192 bytes
(143 rows)

