    table_name     |    column_name    |          data_type          
-------------------+-------------------+-----------------------------
 INV_RTN_C         | WORKING_CODE      | character varying
 SM_PO_E           | WORKING_CODE      | character
 accr_disp         | WORKING_CODE      | character
 buyplan_c         | WORKING_CODE      | character
 buyplan_log       | WORKING_CODE      | character
 card              | WORKING_CODE      | character
 card_backup       | WORKING_CODE      | character
 card_copy         | WORKING_CODE      | character
 cnt_c             | WORKING_CODE      | character
 drug_compos       | COMPOS_CODE       | integer
 drug_compos       | COMPOS_NAME       | character varying
 drug_compos       | TMTID             | bigint
 drug_compos       | WORKING_CODE      | character varying
 drug_gn           | CHANGE_DATE       | timestamp without time zone
 drug_gn           | COLOR             | integer
 drug_gn           | COMPOSITION       | character
 drug_gn           | CONT_UNIT_ID      | integer
 drug_gn           | CONT_VALUE        | real
 drug_gn           | DATE_ENTER        | timestamp without time zone
 drug_gn           | DFORM_ID          | integer
 drug_gn           | DOSAGE_FORM       | character
 drug_gn           | DRUG_NAME         | character
 drug_gn           | DRUG_NAME_KEY     | character
 drug_gn           | DRUG_NAME_TH      | character varying
 drug_gn           | ED_LIST           | smallint
 drug_gn           | ED_LIST_CODE      | character
 drug_gn           | EXPRESS_CODE      | character
 drug_gn           | GPUID             | integer
 drug_gn           | GROUP_CODE        | character
 drug_gn           | GROUP_KEY         | character
 drug_gn           | HIDE              | character
 drug_gn           | HOSP_LIST         | smallint
 drug_gn           | ISSUE_DATE        | timestamp without time zone
 drug_gn           | IS_ED             | smallint
 drug_gn           | IS_HAD            | character
 drug_gn           | LAST_BUY          | timestamp without time zone
 drug_gn           | LAST_BUY_COST     | double precision
 drug_gn           | LAST_NOTIFY_HAD   | timestamp without time zone
 drug_gn           | LAST_PACK_CODE    | integer
 drug_gn           | LAST_VENDOR_CODE  | character
 drug_gn           | LOCATION          | character
 drug_gn           | MAX_LEVEL         | double precision
 drug_gn           | MIN_LEVEL         | double precision
 drug_gn           | MIT               | character varying
 drug_gn           | MOD_SYS           | character varying
 drug_gn           | NOTE              | character
 drug_gn           | OK                | character
 drug_gn           | PACK_UNIT         | character
 drug_gn           | PRODUCTION        | character
 drug_gn           | QTY_ON_HAND       | double precision
 drug_gn           | QTY_UNIT          | double precision
 drug_gn           | RATE_PER_MONTH    | double precision
 drug_gn           | REF_PRICE_DATE    | character
 drug_gn           | REORDER_QTY       | double precision
 drug_gn           | SALE_UNIT         | character
 drug_gn           | SALE_UNIT_ID      | integer
 drug_gn           | SALE_UNIT_PRICE   | double precision
 drug_gn           | SPECIAL_CODE      | character
 drug_gn           | STD_PRICE1        | double precision
 drug_gn           | STD_PRICE2        | double precision
 drug_gn           | STD_PRICE3        | double precision
 drug_gn           | STD_RATIO1        | double precision
 drug_gn           | STD_RATIO2        | double precision
 drug_gn           | STD_RATIO3        | double precision
 drug_gn           | STRENGTH          | double precision
 drug_gn           | STRENGTH_DENO     | double precision
 drug_gn           | STRENGTH_UNIT     | character varying
 drug_gn           | STR_DENO_UID      | integer
 drug_gn           | STR_UID           | integer
 drug_gn           | SUBCOM            | character varying
 drug_gn           | SUPPLY_TYPE       | character
 drug_gn           | TOTAL_COST        | double precision
