    table_name    |      column_name       |          data_type          
------------------+------------------------+-----------------------------
 PRE_MS_IVO       | AMOUNT                 | double precision
 PRE_MS_IVO       | ARRIVE_DATE            | character
 PRE_MS_IVO       | CANCEL_FLAG            | character
 PRE_MS_IVO       | GROSS_WEIGHT           | double precision
 PRE_MS_IVO       | INVOICE_NO             | character varying
 PRE_MS_IVO       | LAST_UPDATE            | timestamp without time zone
 PRE_MS_IVO       | PO_NO                  | character varying
 PRE_MS_IVO       | PRE_RECEIVE_NO         | character
 PRE_MS_IVO       | QTY                    | integer
 PRE_MS_IVO       | RCV_FLAG               | character
 PRE_MS_IVO       | REMARK                 | character varying
 PRE_MS_IVO       | USER_ID                | character varying
 PRE_MS_IVO       | VENDOR_CODE            | character
 SM_PO_E          | CANCEL_DIST            | character
 SM_PO_E          | COMPLETE_FLAG          | character varying
 SM_PO_E          | COST                   | double precision
 SM_PO_E          | DEPT_ID                | character varying
 SM_PO_E          | DIST_DATE              | character varying
 SM_PO_E          | DIST_TIME              | character varying
 SM_PO_E          | EXPIRED_DATE           | character
 SM_PO_E          | INV_NO                 | character varying
 SM_PO_E          | INV_REMAIN_QTY         | double precision
 SM_PO_E          | LOCATION               | character
 SM_PO_E          | LOT_NO                 | character varying
 SM_PO_E          | MSIVOC_RECORD          | integer
 SM_PO_E          | PACK_RATIO             | double precision
 SM_PO_E          | QTY_DIST               | double precision
 SM_PO_E          | QTY_DIST_E             | double precision
 SM_PO_E          | RECEIVE_NO             | character varying
 SM_PO_E          | RECORD_NUMBER          | integer
 SM_PO_E          | STOCK_ID               | character varying
 SM_PO_E          | SUB_PO_NO              | character
 SM_PO_E          | TRADE_CODE             | character varying
 SM_PO_E          | USER_ID                | character varying
 SM_PO_E          | WORKING_CODE           | character
 aic_name         | POSITION               | character varying
 buy_re_m         | BUDGET_TYPE            | character
 buy_re_m         | MONTH                  | character
 buy_re_m         | MONTH_VALUE            | double precision
 buy_re_m         | RECORD_NUMBER          | integer
 buy_re_m         | SUPPLY_TYPE            | character
 buy_re_m         | YEAR                   | character
 buy_re_y         | BUDGET_TYPE            | character
 buy_re_y         | RECORD_NUMBER          | integer
 buy_re_y         | SUPPLY_TYPE            | character
 buy_re_y         | YEAR_VALUE             | double precision
 buy_re_y         | YEA_                   | character
 buycommon        | AUTHOR_SIGN            | character varying
 buycommon        | COMMON_CODE            | integer
 buycommon        | COMMON_DES             | character varying
 buycommon        | DEAL_DAYS              | smallint
 buycommon        | DEFAULT_FLAG           | character varying
 buycommon        | HIDE                   | character
 buycommon        | STD_CODE               | character varying
 buymethod        | AUTHOR_SIGN            | character varying
 buymethod        | BUYMET_CODE            | integer
 buymethod        | BUYMET_DES             | character varying
 buymethod        | DEAL_DAYS              | smallint
 buymethod        | DEFAULT_FLAG           | character varying
 buymethod        | HIDE                   | character
 buymethod        | MAX_AMT                | double precision
 buymethod        | MIN_AMT                | double precision
 buymethod        | REPORT_NAME            | character varying
 buymethod        | STD_CODE               | character varying
 buyplan          | APPROVE                | character
 buyplan          | BUY_TRIMES1            | double precision
 buyplan          | BUY_TRIMES2            | double precision
 buyplan          | BUY_TRIMES3            | double precision
 buyplan          | BUY_TRIMES4            | double precision
 buyplan          | BUY_VALUE              | double precision
 buyplan          | CAL_MONTH              | character
 buyplan          | CAL_YEAR               | character
 buyplan          | DEPT_ID                | character
 buyplan          | LAST_RCV_DATE          | character
 buyplan          | LAST_RVC_NO            | character
 buyplan          | LAST_UPDATE            | timestamp without time zone
 buyplan          | LAST_USER              | character
 buyplan          | MOD_SYS                | character varying
 buyplan          | RCV_VALUE              | double precision
 buyplan          | REMAIN_RCV_VALUE       | double precision
 buyplan          | REMAIN_VALUE           | double precision
 buyplan          | RM_TRIMES1             | double precision
 buyplan          | RM_TRIMES2             | double precision
 buyplan          | RM_TRIMES3             | double precision
 buyplan          | RM_TRIMES4             | double precision
 buyplan          | TRIMESTER1             | double precision
 buyplan          | TRIMESTER2             | double precision
 buyplan          | TRIMESTER3             | double precision
 buyplan          | TRIMESTER4             | double precision
 buyplan          | VALUE_1_YEAR           | double precision
 buyplan          | VALUE_2_YEAR           | double precision
 buyplan          | VALUE_3_YEAR           | double precision
 buyplan          | VALUE_DEFENCE          | double precision
 buyplan          | VALUE_THIS_YEAR        | double precision
 buyplan          | YEAR                   | character
 buyplan_c        | ADJ_REASON             | integer
 buyplan_c        | APPROVE                | character
 buyplan_c        | AVG_3_YEAR             | double precision
 buyplan_c        | BUYMET_CODE            | integer
 buyplan_c        | BUY_QTY                | double precision
 buyplan_c        | BUY_TRIMES1            | double precision
 buyplan_c        | BUY_TRIMES2            | double precision
 buyplan_c        | BUY_TRIMES3            | double precision
 buyplan_c        | BUY_TRIMES4            | double precision
 buyplan_c        | BUY_VALUE              | double precision
 buyplan_c        | CAL_MONTH              | character
 buyplan_c        | DEPT_ID                | character
 buyplan_c        | DISP_RATIO1            | double precision
 buyplan_c        | DISP_RATIO2            | double precision
 buyplan_c        | DISP_RATIO3            | double precision
 buyplan_c        | DISP_RATIO4            | double precision
 buyplan_c        | FORECAST               | double precision
 buyplan_c        | HIDE                   | character varying
 buyplan_c        | LAST_RCV_DATE          | character
 buyplan_c        | LAST_RCV_NO            | character
 buyplan_c        | LAST_UPDATE            | timestamp without time zone
 buyplan_c        | LAST_USER              | character
 buyplan_c        | MIN_LEVEL              | double precision
 buyplan_c        | MOD_SYS                | character varying
 buyplan_c        | PACK_RATIO             | double precision
 buyplan_c        | PACK_UNIT_COST         | double precision
 buyplan_c        | PLAN_TYPE              | integer
 buyplan_c        | QTY_BUY_TRI1           | double precision
 buyplan_c        | QTY_BUY_TRI2           | double precision
 buyplan_c        | QTY_BUY_TRI3           | double precision
 buyplan_c        | QTY_BUY_TRI4           | double precision
 buyplan_c        | QTY_FORECAST           | double precision
 buyplan_c        | QTY_FREE_Y3            | double precision
 buyplan_c        | QTY_ON_HAND            | double precision
 buyplan_c        | QTY_PRE_PLAN           | double precision
 buyplan_c        | QTY_RCV_TRI1           | double precision
 buyplan_c        | QTY_RCV_TRI2           | double precision
 buyplan_c        | QTY_RCV_TRI3           | double precision
 buyplan_c        | QTY_RCV_TRI4           | double precision
 buyplan_c        | QTY_RM_TRI1            | double precision
 buyplan_c        | QTY_RM_TRI2            | double precision
 buyplan_c        | QTY_RM_TRI3            | double precision
 buyplan_c        | QTY_RM_TRI4            | double precision
 buyplan_c        | QTY_THIS_YEAR          | double precision
 buyplan_c        | QTY_TRI1               | double precision
 buyplan_c        | QTY_TRI2               | double precision
 buyplan_c        | QTY_TRI3               | double precision
