    table_name     |     column_name      |          data_type          
-------------------+----------------------+-----------------------------
 INVS_REF          | RETURN_CON           | integer
 INVS_REF          | RETURN_DATE          | character
 INV_RTN           | CONFIRM_FLAG         | character
 INV_RTN           | DEPT_ID              | character varying
 INV_RTN           | RETURN_DATE          | character
 INV_RTN           | RETURN_NO            | character
 INV_RTN           | RETURN_TIME          | character
 INV_RTN           | STOCK_ID             | character varying
 INV_RTN           | TOTAL_ITEM           | integer
 INV_RTN           | TOTAL_VALUE_ALL      | character varying
 INV_RTN           | TOTAL_VALUE_RETURN   | double precision
 INV_RTN           | USER_ID              | character varying
 INV_RTN_C         | ACTION_ID            | integer
 INV_RTN_C         | CANCEL_FLAG          | character
 INV_RTN_C         | EXPIRED_DATE         | character
 INV_RTN_C         | ID                   | character
 INV_RTN_C         | LOCATION             | character varying
 INV_RTN_C         | LOT_NO               | character varying
 INV_RTN_C         | PACK_RATIO           | integer
 INV_RTN_C         | RCV_FLAG             | character
 INV_RTN_C         | REASON_ID            | integer
 INV_RTN_C         | REF_DATA             | character varying
 INV_RTN_C         | RETURN_COST          | double precision
 INV_RTN_C         | RETURN_DATE          | character
 INV_RTN_C         | RETURN_NO            | character
 INV_RTN_C         | RETURN_QTY           | double precision
 INV_RTN_C         | RETURN_TIME          | character
 INV_RTN_C         | TOTAL_COST           | double precision
 INV_RTN_C         | TOTAL_QTY            | double precision
 INV_RTN_C         | TRADE_CODE           | character varying
 INV_RTN_C         | UNIT_COST            | double precision
 INV_RTN_C         | USER_CANCEL          | character varying
 INV_RTN_C         | USER_CONFIRM         | character varying
 INV_RTN_C         | USER_ID              | character varying
 INV_RTN_C         | WORKING_CODE         | character varying
 PRE_MS_IVO        | QTY                  | integer
 SM_PO_E           | INV_REMAIN_QTY       | double precision
 SM_PO_E           | QTY_DIST             | double precision
 SM_PO_E           | QTY_DIST_E           | double precision
 SM_PO_E           | STOCK_ID             | character varying
 accr_disp         | QTY_DIST             | double precision
 accr_disp         | QTY_REQ              | double precision
 accr_disp         | STOCK_ID             | character varying
 buyplan_c         | BUY_QTY              | double precision
 buyplan_c         | QTY_BUY_TRI1         | double precision
 buyplan_c         | QTY_BUY_TRI2         | double precision
 buyplan_c         | QTY_BUY_TRI3         | double precision
 buyplan_c         | QTY_BUY_TRI4         | double precision
 buyplan_c         | QTY_FORECAST         | double precision
 buyplan_c         | QTY_FREE_Y3          | double precision
 buyplan_c         | QTY_ON_HAND          | double precision
 buyplan_c         | QTY_PRE_PLAN         | double precision
 buyplan_c         | QTY_RCV_TRI1         | double precision
 buyplan_c         | QTY_RCV_TRI2         | double precision
 buyplan_c         | QTY_RCV_TRI3         | double precision
 buyplan_c         | QTY_RCV_TRI4         | double precision
 buyplan_c         | QTY_RM_TRI1          | double precision
 buyplan_c         | QTY_RM_TRI2          | double precision
 buyplan_c         | QTY_RM_TRI3          | double precision
 buyplan_c         | QTY_RM_TRI4          | double precision
 buyplan_c         | QTY_THIS_YEAR        | double precision
 buyplan_c         | QTY_TRI1             | double precision
 buyplan_c         | QTY_TRI2             | double precision
 buyplan_c         | QTY_TRI3             | double precision
 buyplan_c         | QTY_TRI4             | double precision
 buyplan_c         | REMAIN_QTY           | double precision
 buyplan_log       | QTY_THIS_YEAR        | double precision
 buyplan_log       | QTY_TRI1             | double precision
 buyplan_log       | QTY_TRI2             | double precision
 buyplan_log       | QTY_TRI3             | double precision
 buyplan_log       | QTY_TRI4             | double precision
 card              | ACTIVE_PACK          | double precision
 card              | ACTIVE_PACK1         | double precision
 card              | ACTIVE_PACK2         | double precision
 card              | ACTIVE_PACK3         | double precision
 card              | ACTIVE_QTY           | double precision
 card              | ACTIVE_QTY1          | double precision
 card              | ACTIVE_QTY2          | double precision
 card              | ACTIVE_QTY3          | double precision
 card              | APP_VERSION          | character varying
 card              | BDG_TYPE             | character
 card              | CANCEL_FLAG          | character
 card              | COST                 | double precision
 card              | DEPT_ID              | character
 card              | EXPIRED_DATE         | character
 card              | FREE_FLAG            | character
 card              | LOT_NO               | character varying
 card              | MOD_SYS              | character varying
 card              | NLEM                 | smallint
 card              | OPERATE_DATE         | timestamp without time zone
 card              | PACK_CODE            | integer
 card              | RECORD_NUMBER        | integer
 card              | REMAIN_COST          | double precision
 card              | REMAIN_COST_LOT      | real
 card              | REMAIN_COST_T        | real
 card              | REMAIN_QTY           | double precision
 card              | REMAIN_QTY_LOT       | real
 card              | REMAIN_QTY_T         | real
 card              | REMAIN_VALUE         | double precision
 card              | REMAIN_VALUE_LOT     | real
 card              | REMAIN_VALUE_T       | real
 card              | R_S_DATE             | character
 card              | R_S_NUMBER           | character
 card              | R_S_STATUS           | character
 card              | SMPOC_RECNO          | integer
 card              | STOCK_ID             | character
 card              | TRADE_CODE           | character varying
 card              | USER_ID              | character varying
 card              | VALUE                | double precision
 card              | VENDOR_CODE          | integer
 card              | WORKING_CODE         | character
 card              | WT_AVG               | real
 card_backup       | ACTIVE_PACK          | double precision
 card_backup       | ACTIVE_PACK1         | double precision
 card_backup       | ACTIVE_PACK2         | double precision
 card_backup       | ACTIVE_PACK3         | double precision
 card_backup       | ACTIVE_QTY           | double precision
 card_backup       | ACTIVE_QTY1          | double precision
 card_backup       | ACTIVE_QTY2          | double precision
 card_backup       | ACTIVE_QTY3          | double precision
 card_backup       | APP_VERSION          | character varying
 card_backup       | BDG_TYPE             | character
 card_backup       | CANCEL_FLAG          | character
 card_backup       | COST                 | double precision
 card_backup       | DEPT_ID              | character
 card_backup       | EXPIRED_DATE         | character
 card_backup       | FREE_FLAG            | character
 card_backup       | LOT_NO               | character varying
 card_backup       | MOD_SYS              | character varying
 card_backup       | NLEM                 | smallint
 card_backup       | OPERATE_DATE         | timestamp without time zone
 card_backup       | RECORD_NUMBER        | integer
 card_backup       | REMAIN_COST          | double precision
 card_backup       | REMAIN_COST_T        | real
 card_backup       | REMAIN_QTY           | double precision
 card_backup       | REMAIN_QTY_T         | real
