    table_name     |   column_name   |     data_type     
-------------------+-----------------+-------------------
 DOC_FLOW          | BUDGET_TYPE     | integer
 INV_RTN_C         | RETURN_COST     | double precision
 INV_RTN_C         | TOTAL_COST      | double precision
 INV_RTN_C         | UNIT_COST       | double precision
 PRE_MS_IVO        | AMOUNT          | double precision
 SM_PO_E           | COST            | double precision
 bdg_amt           | BUDGET_AMOUNT   | double precision
 bdg_amt           | BUDGET_AMT_TRI1 | double precision
 bdg_amt           | BUDGET_AMT_TRI2 | double precision
 bdg_amt           | BUDGET_AMT_TRI3 | double precision
 bdg_amt           | BUDGET_AMT_TRI4 | double precision
 bdg_amt           | BUDGET_REMAIN   | double precision
 bdg_amt           | BUDGET_RM_TRI1  | double precision
 bdg_amt           | BUDGET_RM_TRI2  | double precision
 bdg_amt           | BUDGET_RM_TRI3  | double precision
 bdg_amt           | BUDGET_RM_TRI4  | double precision
 bdg_amt           | BUDGET_TYPE     | character
 bdg_amt           | DEBT            | double precision
 bdg_amt           | FISCAL_YEAR     | character
 bdg_amt           | LIMIT_FLAG      | character
 bdg_amt           | MOD_SYS         | character varying
 bdg_amt           | TOTAL_BUY       | double precision
 bdg_amt           | TOTAL_BUY_TRI1  | double precision
 bdg_amt           | TOTAL_BUY_TRI2  | double precision
 bdg_amt           | TOTAL_BUY_TRI3  | double precision
 bdg_amt           | TOTAL_BUY_TRI4  | double precision
 bdg_type          | BUDGET_AMOUNT   | double precision
 bdg_type          | BUDGET_NAME     | character
 bdg_type          | BUDGET_TYPE     | character
 bdg_type          | DEFAULT_FLAG    | character varying
 bdg_type          | EXPRESS_TYPE    | character
 bdg_type          | HIDE            | character
 bdg_type          | RECORD_NUMBER   | integer
 bdg_type          | TOTAL_BUY       | double precision
 buy_re_m          | BUDGET_TYPE     | character
 buy_re_y          | BUDGET_TYPE     | character
 buyplan_c         | PACK_UNIT_COST  | double precision
 buyplan_log       | PACK_UNIT_COST  | double precision
 card              | COST            | double precision
 card              | REMAIN_COST     | double precision
 card              | REMAIN_COST_LOT | real
 card              | REMAIN_COST_T   | real
 card_backup       | COST            | double precision
 card_backup       | REMAIN_COST     | double precision
 card_backup       | REMAIN_COST_T   | real
 card_copy         | COST            | double precision
 card_copy         | REMAIN_COST     | double precision
 card_copy         | REMAIN_COST_T   | real
 cnt               | REMAIN_COST     | double precision
 cnt               | TOTAL_COST      | double precision
 cnt_c             | BUY_UNIT_COST   | double precision
 cnt_c             | COST_CNT        | double precision
 cnt_c             | COST_REMAIN     | double precision
 doc_flow          | BUDGET_TYPE     | integer
 drug_gn           | LAST_BUY_COST   | double precision
 drug_gn           | TOTAL_COST      | double precision
