    table_name     |    column_name     |     data_type     
-------------------+--------------------+-------------------
 ADD_IN_PROGRAMS   | USER_ID            | character varying
 DOC_FLOW          | REF_NO             | character varying
 DOC_FLOW          | USER_ID            | character varying
 INV_RTN           | DEPT_ID            | character varying
 INV_RTN           | RETURN_NO          | character
 INV_RTN           | STOCK_ID           | character varying
 INV_RTN           | USER_ID            | character varying
 INV_RTN_C         | ACTION_ID          | integer
 INV_RTN_C         | LOT_NO             | character varying
 INV_RTN_C         | REASON_ID          | integer
 INV_RTN_C         | RETURN_NO          | character
 INV_RTN_C         | TRADE_CODE         | character varying
 INV_RTN_C         | USER_ID            | character varying
 INV_RTN_C         | WORKING_CODE       | character varying
 PRE_MS_IVO        | INVOICE_NO         | character varying
 PRE_MS_IVO        | PO_NO              | character varying
 PRE_MS_IVO        | PRE_RECEIVE_NO     | character
 PRE_MS_IVO        | USER_ID            | character varying
 PRE_MS_IVO        | VENDOR_CODE        | character
 SM_PO_E           | DEPT_ID            | character varying
 SM_PO_E           | INV_NO             | character varying
 SM_PO_E           | LOT_NO             | character varying
 SM_PO_E           | RECEIVE_NO         | character varying
 SM_PO_E           | STOCK_ID           | character varying
 SM_PO_E           | SUB_PO_NO          | character
 SM_PO_E           | TRADE_CODE         | character varying
 SM_PO_E           | USER_ID            | character varying
 SM_PO_E           | WORKING_CODE       | character
 accr_disp         | DEPT_ID            | character varying
 accr_disp         | DIST_NO            | character
 accr_disp         | REQ_NO             | character
 accr_disp         | STOCK_ID           | character varying
 accr_disp         | USER_ID            | character varying
 accr_disp         | WORKING_CODE       | character
 add_in_programs   | USER_ID            | character varying
 adj_reason        | AR_ID              | integer
 aic               | AIC_CODE           | integer
 aic               | REF_NO             | character varying
 aic_name          | AIC_CODE           | integer
 area              | areaCode           | character
 bill_status       | id                 | integer
 buycommon         | COMMON_CODE        | integer
 buycommon         | STD_CODE           | character varying
 buymethod         | BUYMET_CODE        | integer
 buymethod         | STD_CODE           | character varying
 buyplan           | DEPT_ID            | character
 buyplan           | LAST_RVC_NO        | character
 buyplan_c         | BUYMET_CODE        | integer
 buyplan_c         | DEPT_ID            | character
 buyplan_c         | LAST_RCV_NO        | character
 buyplan_c         | TRADE_CODE         | character
 buyplan_c         | WORKING_CODE       | character
 buyplan_log       | DEPT_ID            | character
 buyplan_log       | USER_ID            | character
 buyplan_log       | WORKING_CODE       | character
 card              | DEPT_ID            | character
 card              | LOT_NO             | character varying
 card              | PACK_CODE          | integer
 card              | SMPOC_RECNO        | integer
 card              | STOCK_ID           | character
 card              | TRADE_CODE         | character varying
 card              | USER_ID            | character varying
 card              | VENDOR_CODE        | integer
 card              | WORKING_CODE       | character
 card_backup       | DEPT_ID            | character
 card_backup       | LOT_NO             | character varying
 card_backup       | SMPOC_RECNO        | integer
 card_backup       | STOCK_ID           | character
 card_backup       | TRADE_CODE         | character varying
