    table_name     |    column_name     |          data_type          
-------------------+--------------------+-----------------------------
 ADD_IN_PROGRAMS   | CHANGE_DATE        | timestamp without time zone
 ADD_IN_PROGRAMS   | ISSUE_DATE         | timestamp without time zone
 DOC_FLOW          | LAST_UPDATE        | timestamp without time zone
 DOC_FLOW          | RCV_DATE           | character
 DOC_FLOW          | SEND_DATE          | character
 INVS_REF          | RETURN_DATE        | character
 INV_RTN           | RETURN_DATE        | character
 INV_RTN           | RETURN_TIME        | character
 INV_RTN_C         | EXPIRED_DATE       | character
 INV_RTN_C         | RETURN_DATE        | character
 INV_RTN_C         | RETURN_TIME        | character
 PRCV_CON          | PRCV_DATE          | character
 PRE_MS_IVO        | ARRIVE_DATE        | character
 PRE_MS_IVO        | LAST_UPDATE        | timestamp without time zone
 SM_PO_E           | DIST_DATE          | character varying
 SM_PO_E           | DIST_TIME          | character varying
 SM_PO_E           | EXPIRED_DATE       | character
 accr_disp         | CONFIRM_DATE       | character
 accr_disp         | REQ_DATE           | character
 add_in_programs   | CHANGE_DATE        | timestamp without time zone
 add_in_programs   | ISSUE_DATE         | timestamp without time zone
 buyplan           | LAST_RCV_DATE      | character
 buyplan           | LAST_UPDATE        | timestamp without time zone
 buyplan_c         | LAST_RCV_DATE      | character
 buyplan_c         | LAST_UPDATE        | timestamp without time zone
 buyplan_log       | CHANGE_DATE        | timestamp without time zone
 card              | EXPIRED_DATE       | character
 card              | OPERATE_DATE       | timestamp without time zone
 card              | R_S_DATE           | character
 card_backup       | EXPIRED_DATE       | character
 card_backup       | OPERATE_DATE       | timestamp without time zone
 card_backup       | R_S_DATE           | character
 card_copy         | EXPIRED_DATE       | character
 card_copy         | OPERATE_DATE       | timestamp without time zone
 card_copy         | R_S_DATE           | character
 cnt               | AIC_DATE           | character varying
 cnt               | AUTH_DATE          | character
 cnt               | AUTH_TIME          | character
 cnt               | CNT_DATE           | character varying
 cnt               | EFFECTIVE_DATE     | character
 cnt               | END_DATE           | character
