search_keyword,taxId,name,branch,branchCode,branchType,addressLocal,zipCode,contactGroup
องค์การเภสัชกรรม,0993000132998,สมาคม สโมสรพนักงานองค์การเภสัชกรรม,สำนักงานใหญ่,00000,สำนักงานใหญ่,75/1 ถนนพระราม 6 แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร,10400,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00008,สาขา,44 หมู่3 ถนนเชียงใหม่-ฮอด ตำบลหางดง อำเภอหางดง เชียงใหม่,50230,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00018,สาขา,63 หมู่3 ตำบลทับกวาง อำเภอแก่งคอย สระบุรี,18260,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00005,สาขา,370-371 หมู่8 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา ปทุมธานี,12130,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,สำนักงานใหญ่,00000,สำนักงานใหญ่,75/1 ถนนพระราม 6 แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร,10400,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00009,สาขา, ถนนติวานนท์ ตำบลท่าทราย อำเภอเมืองนนทบุรี นนทบุรี,11000,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00019,สาขา,63/12 หมู่3 ตำบลทับกวาง อำเภอแก่งคอย สระบุรี,18260,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00002,สาขา,693 ถนนบำรุงเมือง แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร,10100,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00006,สาขา,88 หมู่10 ถนนอุดรธานี-หนองคาย ตำบลกุดสระ อำเภอเมืองอุดรธานี อุดรธานี,41000,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00007,สาขา,90 ถนนนิพัทธ์สงเคราะห์5 ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา,90110,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00017,สาขา,138 หมู่4 ตำบลบึงสนั่น อำเภอธัญบุรี ปทุมธานี,12110,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00021,สาขา,999 หมู่6 ตำบลหนองใหญ่ อำเภอหนองใหญ่ ชลบุรี,20190,1
องค์การเภสัชกรรม,0994000165315,องค์การเภสัชกรรม,,00004,สาขา,226 ถนนสามเสน แขวงบางขุนพรหม เขตพระนคร กรุงเทพมหานคร,10200,1
